year,format,team,seed,trank,adj_em,adj_t,win_count,win_pct,actual_champion
2024,10-team double bye,Illinois Chicago,11,178.0,-1.1,68.2,0,0.0,0
2024,10-team double bye,Valparaiso,12,294.0,-10.3,68.0,0,0.0,0
2024,8-team no byes,Bradley,1,60.0,12.8,66.3,2373,23.73,0
2024,8-team no byes,Drake,2,51.0,14.7,67.9,2896,28.96,1
2024,8-team no byes,Indiana St.,3,42.0,16.9,70.7,3592,35.92,0
2024,8-team no byes,Northern Iowa,4,106.0,6.8,66.6,439,4.39,0
2024,8-team no byes,Belmont,5,101.0,7.3,71.3,499,4.99,0
2024,8-team no byes,Southern Illinois,6,116.0,5.2,64.3,137,1.37,0
2024,8-team no byes,Illinois St.,7,193.0,-2.5,63.8,7,0.07,0
2024,8-team no byes,Murray St.,8,155.0,0.9,64.5,57,0.57,0
2024,8-team no byes,Missouri St.,9,142.0,2.1,67.9,0,0.0,0
2024,8-team no byes,Evansville,10,210.0,-3.8,68.6,0,0.0,0
2024,8-team no byes,Illinois Chicago,11,178.0,-1.1,68.2,0,0.0,0
2024,8-team no byes,Valparaiso,12,294.0,-10.3,68.0,0,0.0,0
2024,10-team 6 single byes,Bradley,1,60.0,12.8,66.3,2304,23.04,0
2024,10-team 6 single byes,Drake,2,51.0,14.7,67.9,2873,28.73,1
2024,10-team 6 single byes,Indiana St.,3,42.0,16.9,70.7,3645,36.45,0
2024,10-team 6 single byes,Northern Iowa,4,106.0,6.8,66.6,425,4.25,0
2024,10-team 6 single byes,Belmont,5,101.0,7.3,71.3,532,5.32,0
2024,10-team 6 single byes,Southern Illinois,6,116.0,5.2,64.3,140,1.4,0
2024,10-team 6 single byes,Illinois St.,7,193.0,-2.5,63.8,6,0.06,0
2024,10-team 6 single byes,Murray St.,8,155.0,0.9,64.5,24,0.24,0
2024,10-team 6 single byes,Missouri St.,9,142.0,2.1,67.9,51,0.51,0
2024,10-team 6 single byes,Evansville,10,210.0,-3.8,68.6,0,0.0,0
2024,10-team 6 single byes,Illinois Chicago,11,178.0,-1.1,68.2,0,0.0,0
2024,10-team 6 single byes,Valparaiso,12,294.0,-10.3,68.0,0,0.0,0
2025,10-team double bye,Drake,1,52.0,15.4,59.1,6438,64.38,1
2025,10-team double bye,Bradley,2,86.0,8.7,66.0,2287,22.87,0
2025,10-team double bye,Northern Iowa,3,104.0,5.7,65.4,549,5.49,0
2025,10-team double bye,Belmont,4,125.0,3.9,70.9,282,2.82,0
2025,10-team double bye,Illinois St.,5,121.0,4.2,66.0,306,3.06,0
2025,10-team double bye,Illinois Chicago,6,189.0,-2.2,69.3,14,0.14,0
2025,10-team double bye,Murray St.,7,151.0,0.6,64.9,75,0.75,0
2025,10-team double bye,Southern Illinois,8,174.0,-1.3,68.1,30,0.3,0
2025,10-team double bye,Indiana St.,9,196.0,-3.0,72.6,18,0.18,0
2025,10-team double bye,Evansville,10,257.0,-7.2,67.1,1,0.01,0
